"name","screen_name","text","polarity","subjectivity","label"
"Vaibhav Kapoor","kapoorvaibhav","RT @NITIAayog: NITI Vice Chairman Dr.@APanagariya chairs meeting to discuss Bitcoin/Crypto Currencies with Home Secretary https://t.co/tWRy…","0.00","0.00","NEGATIVE"
"Todd Stofka","Phillyhypnosis","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Kailash Karthik N","kailashkarthik","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"🇮🇳Anupam ידב 🇮🇱","anupamyji","RT @danielocarmon: Great meeting,as usual,with @NITIAayog CEO @amitabhk87 briefed on #ModiinIsrael visit,explored strengthening cooperation…","0.80","0.75","POSITIVE"
"Bhairavi Jani","Bhairavi_Jani","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"James Proctor","SurvivedNemo","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Santhosh Nayak","ksanthoshnayak","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"Feminismus Heute","HeuteFeminismus","Grutter v utaustin ' diversity' sweetheart o quu dpg. Experience socialpwds nitiaayog s: two types of youtube.  #feminismus","0.00","0.00","NEGATIVE"
"Anshu Rathore","AnshuRathore99","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"Ashish Joshi Joshi","AshishJoshiJos1","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Sameer","sameermanc","@GoI_MeitY @NITIAayog @DoT_India Internet access isn’t as common as FMCG product in India. Read why https://t.co/VxqUcnoNMk @TRAI @PMOIndia","-0.30","0.50","NEGATIVE"
"Tejas Shah","catejasshah1","https://t.co/iVyQHhvv2I
@narendramodi @NITIAayog @nitin_gadkari start using interlocking bricks as agnst normal bricks do watch video","0.15","0.65","POSITIVE"
"Anmol Shrivastava","MoleShrivastava","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"sabari","natsaba","RT @NITIAayog: NITI Vice Chairman Dr.@APanagariya chairs meeting to discuss Bitcoin/Crypto Currencies with Home Secretary https://t.co/tWRy…","0.00","0.00","NEGATIVE"
"Vinayak !!","Vinaayak_76","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"@Infinity पहले देश","shriparv","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"@Infinity पहले देश","shriparv","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"@Infinity पहले देश","shriparv","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"ⓓⓔⓑⓐⓙⓘⓣ","justnlawless","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Ritesh Pandey","RiteshPandey0","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Gopal Poddar","poddargopal","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Rishi Astika","astik_shishya","RT @FCLive: Panagariya denies two power centres at Aayog, causes ripples https://t.co/l9M9O9BJ1F @nitiaayog https://t.co/jINY8874at","0.00","0.00","NEGATIVE"
"Financial Chronicle","FCLive","Panagariya denies two power centres at Aayog, causes ripples https://t.co/l9M9O9BJ1F @nitiaayog https://t.co/jINY8874at","0.00","0.00","NEGATIVE"
"Social Scientist","JanaabGeo","@NITIAayog @amitabhk87 @APanagariya @bibekdebroy @IasAlok @PIB_India @myogiadityanath @CMofKarnataka… https://t.co/ncvmAD9Oj3","0.00","0.00","NEGATIVE"
"Tushar Khatri","e_tushar","RT @NITIAayog: NITI Vice Chairman Dr.@APanagariya chairs meeting to discuss Bitcoin/Crypto Currencies with Home Secretary https://t.co/tWRy…","0.00","0.00","NEGATIVE"
"adwait","adwaitdash","@YourStoryCo @OpenEdAI @anshulbhagi @nikhilaravi @amitabhk87 @NITIAayog @OmidyarNetwork @HarshithMallya Is it. Awesome","1.00","1.00","POSITIVE"
"Sidhartha Shukla","shukla_05sid","RT @NITIAayog: NITI Vice Chairman Dr.@APanagariya chairs meeting to discuss Bitcoin/Crypto Currencies with Home Secretary https://t.co/tWRy…","0.00","0.00","NEGATIVE"
"33 Public Relations","33Relations","RT @FinancialXpress: #UttarPradesh, #Assam, #Karnataka under #NitiAayog programme to transform #health sector
https://t.co/wiQ0rbEUF9 https…","0.00","0.00","NEGATIVE"
"karunesh dev singh","KaruneshDev","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"Sameer","sameermanc","Frequent changes in tax rates hit planning: Auto industry https://t.co/fsutK95PSq @PMOIndia @nitin_gadkari @FinMinIndia @NITIAayog","0.10","0.30","POSITIVE"
"Nikhil Kulkarni","name_is_nikhil","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Tehseen","TTeerandaz","RT @ashishdua_INC: .#NitiAayog confirmed to have a false start, stunted growth, flawed approach &amp; disastrous results .@NewIndianXpress  htt…","-0.30","0.73","NEGATIVE"
"Anjoo Srivastava","AnjooSrivastava","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Dr D Datta","ddatta16","@NITIAayog Pls do start by cleaning up INDIAN MEDICAL EDUCATION first.

https://t.co/U3SLSDB0UU

&amp; the context 👇

https://t.co/H4xNNTUBUh","0.13","0.17","POSITIVE"
"Brijesh Ojha","techieindus","@NandanNilekani @NITIAayog @PMOIndia @narendramodi @ShashiTharoor @Swamy39 @UIDAI @thekiranbedi  Guys can we link Aadhaar with Voter ID ?","0.00","0.00","NEGATIVE"
"Politico Nation","thepoliticonat","#UttarPradesh, #Assam, #Karnataka under #NitiAayog programme to transform #health sector https://t.co/sCbsCpPMYW","0.00","0.00","NEGATIVE"
"Financial Express","FinancialXpress","#UttarPradesh, #Assam, #Karnataka under #NitiAayog programme to transform #health sector
https://t.co/wiQ0rbEUF9 https://t.co/1Tmp7UbjdT","0.00","0.00","NEGATIVE"
"Sameer","sameermanc","@PMOIndia India lagging behind in investment in tech in insurance industry: Report https://t.co/RaFr97liy4 @NITIAayog @DoC_GoI","-0.40","0.70","NEGATIVE"
"RATNAKER NARALA","narala_Ratnaker","RT @NH_India: New #NitiAayog vice-chairperson Dr Rajiv Kumar has been a vocal cheerleader of PM #Modi’s brand of politics
https://t.co/dfgT…","0.14","0.45","POSITIVE"
"Badrinath Iyengar","BadriIyengar","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"RATNAKER NARALA","narala_Ratnaker","RT @NH_India: Will retired bureaucrat #AmitabhKant or #BabaRamdev replace Arvind Panagariya as the @NITIAayog vice-chairman?
https://t.co/Q…","0.00","0.00","NEGATIVE"
"Sameer","sameermanc","@PMOIndia @GoI_MeitY India's digital economy not doing well in creating infrastructure: TRAI Chairman https://t.co/eE6vzYGOHW @NITIAayog","0.00","0.00","NEGATIVE"
"Vikram Jaiswal","VikramJaisswal","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"Jai Issrani","JaiIssrani","RT @FinancialXpress: Can’t have a 7 to 7.75 pct growth without job creation: @NITIAayog Vice Chairman Dr @APanagariya https://t.co/zqZYW41J…","0.00","0.00","NEGATIVE"
"Ramesh Kumar","Rameshku06","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Urvashi Prasad","urvashi01","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Sanjeev Shrivastav","sanjeevkumar11","Retweeted NITI Aayog (@NITIAayog):

NITI Vice Chairman Dr.@APanagariya chairs meeting to discuss Bitcoin/Crypto... https://t.co/VFl4rfSsMC","0.00","0.00","NEGATIVE"
"Sanjeev Shrivastav","sanjeevkumar11","RT @NITIAayog: NITI Vice Chairman Dr.@APanagariya chairs meeting to discuss Bitcoin/Crypto Currencies with Home Secretary https://t.co/tWRy…","0.00","0.00","NEGATIVE"
"RajKishor Prasad","rajkishor800","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"RajKishor Prasad","rajkishor800","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"RajKishor Prasad","rajkishor800","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Ish Kapur","ishkapur","RT @NITIAayog: To radically transform quality of #Education in India, NITI selects MP, J'khand &amp; Odisha under #SATH through #CompetitiveFed…","0.00","0.00","NEGATIVE"
"riazshq","beingriazshq","RT @ashishdua_INC: .#NitiAayog confirmed to have a false start, stunted growth, flawed approach &amp; disastrous results .@NewIndianXpress  htt…","-0.30","0.73","NEGATIVE"
"Sandip Singh","SandipS98175108","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Chandra bhu","Chandra_bhs","RT @airnewsalerts: .@NITIAayog announces partnership with six states to radically transform their #Health and #Education sectors.","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: NITI VC Dr.@APanagariya w/ G.Jagadish Reddy, MoS @mnreindia at the 1st meeting of Advisory Group on Renewable Energy Integra…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: NITI interacts w/ schools on fostering innovation w/ @AIMtoInnovate Tinkering Labs. Next stop- Mumbai, tomorrow! All schools…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: .@makemytrip CEO, Deep Kalra, supports Atal Incubation Centres &amp; urges to drive innovation by applying for an AIC https://t.…","0.00","0.40","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: #NewsFromNITI: Karnataka to give free laptops to 1.5 lakh BPL students to encourage digitalisation across all backgrounds @C…","0.40","0.80","POSITIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: NITI holds its 5th regional workshop on School Education Quality Index for 8 States in Guwahati, focusing on learning outcom…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: Ariela Luna, former Vice Minister Social Policies, Peru, talks on budgeting for high impact, low cost interventions to reduc…","0.05","0.23","POSITIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: We need to use evidence intensely, set goals, have an incentive system &amp; measure indicators rigorously to better nutrition s…","0.35","0.75","POSITIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: #NewsFromNITI: After the 5th Regional Workshop in Guwahati, School Education Quality Index Baseline ranking to be out soon!…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: Create student innovators in 6 months w/ Atal Tinkering Lab: Integrate ATL in your school curriculum @AIMtoInnovate https://…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: NITI Vice Chairman Dr.@APanagariya w/ former PM Manmohan Singh at launch of Rakesh Mohan's 'India Transformed: 25 years of E…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: Join us for an interactive session on driving innovation w/ Atal Incubation Centres, in Ahmedabad tomorrow at 10 am @vijayru…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: NITI CEO @amitabhk87 interacts with singer &amp; composer Kailash kher on leveraging media to further India's development agenda…","0.00","0.50","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: To radically transform quality of #Education in India, NITI selects MP, J'khand &amp; Odisha under #SATH through #CompetitiveFed…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: We are coming to Jodhpur to interact w/ schools to set up NITI-funded Atal Tinkering Labs to foster young innovators. All sc…","0.10","0.40","POSITIVE"
"Narendra Modi","MODIfyingBHARAT","RT @Energy_NITI: #IEPUpdate Read about India's leapfrog to Methanol Economy by Dr. V K Saraswat, Member @NITIAayog on https://t.co/tXUqxQJN…","0.00","0.00","NEGATIVE"
"Narendra Modi","MODIfyingBHARAT","RT @NITIAayog: NITI Vice Chairman Dr.@APanagariya chairs meeting to discuss Bitcoin/Crypto Currencies with Home Secretary https://t.co/tWRy…","0.00","0.00","NEGATIVE"
"Suresh Tripathi","RailSamachar","@3rdEye99 @sureshpprabhu @RailMinIndia @PMOIndia @NITIAayog @GM_CRly Who is this CAO and what is his name, pls confirm","0.00","0.00","NEGATIVE"
"Saurabh Pathak","Saurabh18068765","RT @NITIAayog: To radically transform quality of #Education in India, NITI selects MP, J'khand &amp; Odisha under #SATH through #CompetitiveFed…","0.00","0.00","NEGATIVE"
"Surgical Strike","strike_surgical","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"Sweeney Todd","ChweeneyTodd","RT @ravithinkz: Only positives are linked to Demonetisation and GST..all negatives are due to global slowdown.
https://t.co/fzcgpyVkqy","-0.04","0.46","NEGATIVE"
"Luv....))","tweeeterboy","@NITIAayog @bibekdebroy @EconomicTimes GST implement toh kar diya .....But cos ne daam basic prices badha diye....S… https://t.co/Czuhglmlby","0.00","0.13","NEGATIVE"
"Luv....))","tweeeterboy","@NITIAayog @bibekdebroy @EconomicTimes It's linked to finding way out of escaping taxes","0.00","0.00","NEGATIVE"
"Dailyaddaa.","Dailyaddaa",".@NITIAayog announces partnership with six states to radically transform their #Health and #Education sectors #dailyaddaa","0.00","0.00","NEGATIVE"
"Sagar Salunke","Sagar_Salunke","RT @koshikakaks: @the_hindu @LittyPorinju @SrBachchan @karanjohar @imjadeja @sachin_rt @TimesNow @timesofindia @ndtv @NITIAayog @livemint B…","0.00","0.00","NEGATIVE"
"Mukesh Kumar Pandey","Mukesh20101989","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Mukesh Kumar Pandey","Mukesh20101989","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Mukesh Kumar Pandey","Mukesh20101989","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"Tavinder","palbro16","RT @nitin33K: Innocent spent 2Yrs in JAIL becs of #GenderBiased
#FakeCases
#DhanKiBaat
@rsprasad @HMOIndia @NITIAayog @PIB_India 
https://t…","0.10","0.27","POSITIVE"
"Dineshhebbalesubbara","Dineshhebbales1","RT @jagtapraghu: @ChBirenderSingh @SAILsteel @NITIAayog @PMOIndia, karnataka cabinet approve 157hector mine to#visl bhadravati, now ball is…","0.00","0.00","NEGATIVE"
"Yogi Adityanath","myogiadityanat_","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Yogi Adityanath","myogiadityanat_","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Yogi Adityanath","myogiadityanat_","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"Amit Kaushik","amitklucky","@NITIAayog @myogiadityanath @PMOIndia @narendramodi @APanagariya @amitabhk87 @nitin_gadkari @MORTHIndia @CMOfficeUP… https://t.co/5NTnQvWN1L","0.00","0.00","NEGATIVE"
"संजय","sanjayarunkumar","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"Full Of Thoughts","FullofThoughts4","RT @airnewsalerts: .@NITIAayog announces partnership with six states to radically transform their #Health and #Education sectors.","0.00","0.00","NEGATIVE"
"Mahesh","Mahesh69207941","RT @rupeshkumarswam: #NitiAayog #RajyaSabhaPolls 
Low GP, NPS, 2 yr Probation . Enough is enough that's why #Raj_IA_Deserves_3600_GrdPay  @…","0.00","0.43","NEGATIVE"
"Alka Singh","alkasinghdeoria","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"murali krishna","krishna2310","@NITIAayog @ChouhanShivraj @CMMadhyaPradesh @Naveen_Odisha @CMO_Odisha @amitabhk87 @APanagariya @mkaurdwivedi… https://t.co/nuduaCaW2D","0.00","0.00","NEGATIVE"
"Shishir Bajpai","sbajpai2806","RT @airnewsalerts: .@NITIAayog announces partnership with six states to radically transform their #Health and #Education sectors.","0.00","0.00","NEGATIVE"
"murali krishna","krishna2310","@NITIAayog @ChouhanShivraj @CMMadhyaPradesh @Naveen_Odisha @CMO_Odisha @amitabhk87 @APanagariya @mkaurdwivedi… https://t.co/U4G1wNe4bj","0.00","0.00","NEGATIVE"
"Tyrion Lannister","Valaar_Dohaeris","RT @ashishdua_INC: .#NitiAayog confirmed to have a false start, stunted growth, flawed approach &amp; disastrous results .@NewIndianXpress  htt…","-0.30","0.73","NEGATIVE"
"সিদ্ধাৰ্থ ঘোষ 🇮🇳","siddharthghose","RT @NITIAayog: After rigorous competition, NITI selects UP, Assam &amp; K'taka to transform their #Health sector in 3 years! #SATH #Competitive…","0.00","0.00","NEGATIVE"
"KN Bhagat","SaikedarnathN","RT @OPSharma333: @NITIAayog @APanagariya @amitabhk87 @bibekdebroy @IasAlok @myogiadityanath @CMofKarnataka @sarbanandsonwal @ChouhanShivraj…","0.00","0.00","NEGATIVE"
"🇮🇳Kapil Chourasia","kapilchourasia","The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to c… https://t.co/X4GYZWd9Dy","0.00","0.00","NEGATIVE"
"Adv Priyank Pandey","Priyank_1001","RT @NITIAayog: #NewsFromNITI: UP makes budgetary prov of Rs 288 cr for metro projects &amp; allocates Rs 598.65 cr for strengthening roads @myo…","0.00","0.00","NEGATIVE"
"Adv Priyank Pandey","Priyank_1001","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: #DidYouKnow: The govt. has set up @AIMtoInnovate in NITI Aayog to strengthen India's innovation &amp; entrepreneurship ecosystem…","0.00","0.00","NEGATIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: Chief Minister of Chattisgarh, @drramansingh, meets Vice Chairman Dr.@APanagariya at NITI Aayog today #CooperativeFederalism…","0.00","0.00","NEGATIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: Recommendations by NITI Aayog's Sub-Group of CMs on Skill Development are being implemented by @MSDESkillIndia #SkillIndia @…","0.00","0.00","NEGATIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: #NewsfromNITI: Prof Luis Bettencourt, University of Chicago, on  ‘An emerging Science: Cities &amp; its significance to Sustaina…","0.00","0.00","NEGATIVE"
"Shivashish Sen","Shivashishsen21","RT @ashishdua_INC: .#NitiAayog confirmed to have a false start, stunted growth, flawed approach &amp; disastrous results .@NewIndianXpress  htt…","-0.30","0.73","NEGATIVE"
"Politico Nation","thepoliticonat",".@NITIAayog announces partnership with six states to radically transform their #Health and #Education sectors.","0.00","0.00","NEGATIVE"
"pardhasaradhiGrandhi","saadhyudu2011","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"DRM Nanded","drmned","@kgovindv @niraj1712 @sureshpprabhu @gmscrailway @drmngpsecr @RailSamachar @PMOIndia @NITIAayog noted thanks for tweet","0.20","0.20","POSITIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: Ariela Luna, former Vice Minister Social Policies, Peru, talks on budgeting for high impact, low cost interventions to reduc…","0.05","0.23","POSITIVE"
"Gaurav Sharma","sgaurav76","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: We need to use evidence intensely, set goals, have an incentive system &amp; measure indicators rigorously to better nutrition s…","0.35","0.75","POSITIVE"
"Govind v Kurumbhatte","kgovindv","@niraj1712 @sureshpprabhu @drmned @gmscrailway @drmngpsecr @RailSamachar @PMOIndia @NITIAayog Why r running Ned-Ajn… https://t.co/y9tpDEJr93","0.00","0.00","NEGATIVE"
"Sapna Thekkepat","Sthekkepat","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: NITI Vice Chairman Dr.@APanagariya w/ former PM Manmohan Singh at launch of Rakesh Mohan's 'India Transformed: 25 years of E…","0.00","0.00","NEGATIVE"
"Md Obaidullah","mdbaid","RT @ashishdua_INC: .#NitiAayog confirmed to have a false start, stunted growth, flawed approach &amp; disastrous results .@NewIndianXpress  htt…","-0.30","0.73","NEGATIVE"
"suryodaya rajguru","swetankm","#NitiAayog 
Restructuring of #PlanningCommission as NitiAayog is a big failure. Talking of #CorporateFederalism is unfounded. #PoorPangaria","-0.16","0.20","NEGATIVE"
"Karthik Balajee L","karthikbalajee","RT @ShamikaRavi: Did you know that cardiovascular diseases are the biggest killers of men and women in India? 
@MoHFW_INDIA @NITIAayog (1/n…","0.00","0.00","NEGATIVE"
"lovecereals","cerealsmiamiam","RT @sunteraho: @thesuniljain @NITIAayog @RajivKumar1 Good analysis! But wouldn't the thinning of FCI procurement need alternative ways to s…","0.88","0.60","POSITIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: To radically transform quality of #Education in India, NITI selects MP, J'khand &amp; Odisha under #SATH through #CompetitiveFed…","0.00","0.00","NEGATIVE"
"DIWAKAR DIXIT","sunteraho","@thesuniljain @NITIAayog @RajivKumar1 Good analysis! But wouldn't the thinning of FCI procurement need alternative… https://t.co/LaQCiKsF1Y","0.88","0.60","POSITIVE"
"K Padma Rani","KPadmaRani1","RT @ashishdua_INC: .#NitiAayog confirmed to have a false start, stunted growth, flawed approach &amp; disastrous results .@NewIndianXpress  htt…","-0.30","0.73","NEGATIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: We are coming to Jodhpur to interact w/ schools to set up NITI-funded Atal Tinkering Labs to foster young innovators. All sc…","0.10","0.40","POSITIVE"
"Anand","anandgujarathi","RT @airnewsalerts: .@NITIAayog announces partnership with six states to radically transform their #Health and #Education sectors.","0.00","0.00","NEGATIVE"
"KN Bhagat","SaikedarnathN","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"Nikolai Riazantsev","friendmoscow","RT @airnewsalerts: .@NITIAayog announces partnership with six states to radically transform their #Health and #Education sectors.","0.00","0.00","NEGATIVE"
"Rajan Dhingra","IamRDhingra","@russiconsultant @RajivKumar1 @NITIAayog @PMOIndia @APanagariya Sir working on same. It's the responsibility of eve… https://t.co/I1avCmyKxu","0.00","0.13","NEGATIVE"
"Arun Kumar Dasari","dasariarunkumar","RT @airnewsalerts: .@NITIAayog announces partnership with six states to radically transform their #Health and #Education sectors.","0.00","0.00","NEGATIVE"
"ranbir kapoor","ranbir_kapoo","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"rana khatoon","rana_khatoon1","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"ram khelawan","ram_khelawan1","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"pallavi jain","pallavi_jain2","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"manisha singh","manisha_singh1","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"Kamla Singh","kamla_singh1","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
"Kalam Malik","kalam_malik1","RT @RajivKumar1: The seed of @NITIAayog planted @PMOIndia has been nurtured into a robust sapling by @APanagariya. Look forward to carry it…","0.00","0.00","NEGATIVE"
