"name","screen_name","text","polarity","subjectivity","label"
"Esther Raleigh","nataliyadevs","derivatives of hyperbolic functions https://t.co/GBiPoBZBDc french tutions","0.00","0.00","NEGATIVE"
"Huw Gruffydd","HuwGruffydd","RT @johnsut27124887: @HuwGruffydd @mikeowilliams He talks about failing the young by ther elderly. Perhaps he can explain why he (elderly)…","0.10","0.40","POSITIVE"
"John Sutherland","johnsut27124887","@HuwGruffydd @mikeowilliams He talks about failing the young by ther elderly. Perhaps he can explain why he (elderl… https://t.co/PPeKYFBtXH","0.10","0.40","POSITIVE"
"maneckshaw","maneckshawb","RT @rajpriyanka1: @PrakashJavdekar sir please do some thing Kendriya Vidyalaya 2 ambala cantt teachers compelling for tutions.please please…","0.30","0.60","POSITIVE"
"fineapple🍍","__zeaa","@OMG_ItsKhairy SPEAK FOR YOUR DAMN SELF . Nicki Doing things you havnt even began , she even pays tutions bro .","0.00","0.00","NEGATIVE"
"Gabriel","Gabriel050111","@SovereignMercia @Fellow_Tweeter @mr_springy @Michael_Dunn4 @Independent Trashing public research, education, raisi… https://t.co/AroSKySfkg","0.00","0.07","NEGATIVE"
"meenu s","3Madhvi","@Blush_Channel #FriendshipDay our a teacher didn't take classes. He took tutions. Once we called to principal and complained @jnandini05_9","-0.30","0.20","NEGATIVE"
"Kobi 🌺","kxbishaa","RT @justagathasrsly: #GrowingUpTamil when u have to wake up at 7am on the weekends bc u have 20 tutions","0.00","0.00","NEGATIVE"
"Sunitha Nahar","SunithaNahar","@subbureddyy Sakshi just came back from the tutions and gave it to me 🤗🙏","0.00","0.00","NEGATIVE"
"A.","ItsmeALS_","@ish2881 @Khushali_25 University,tutions and exams😶","0.00","0.00","NEGATIVE"
"Dhruti","dhrxtxtells","So kids in my tutions have their hands full of friendship bands and marker signs. Damn I miss those school days.","0.35","0.55","POSITIVE"
"Ahmad Fatimi","MashrabeNab","RT @CommunityNewsPk: Tutions Avail For Montessori And Prep For Class1 For Reputed Schools.
Teacher Is Teaching At Sandra Montessori Since 6…","0.00","0.00","NEGATIVE"
"KSIA Community News","CommunityNewsPk","Tutions Avail For Montessori And Prep For Class1 For Reputed Schools.
Teacher Is Teaching At Sandra Montessori Since 6 Years.
03312006954","0.00","0.00","NEGATIVE"
"Geethanjali Suvarna","Geethanjali_BJP","RT @AnilChalageri: Taking tutions to non performing class mates in high school days was a right example of Sabka Saath Sabka Vikas concept…","0.22","0.54","POSITIVE"
"Amar","amar1a","@ShaluSh28494865 @mygovindia @nitin_gadkari @FinMinIndia @MORTHIndia Go and work,give tutions earn money and study...don't be a begger","0.00","0.00","NEGATIVE"
"HBD Jacqueline ❤","Dips_Varun","@Areesha324 Wow.. enjoy..
I am busy with my boring books and copies and tutions.. 😥😂😂😂
But i love physics 
As alway… https://t.co/UC4aAlhZsm","0.02","0.68","POSITIVE"
"Anuj Verma","nirbhikAnuj","@DikshitSmita @brajeshlive When people want to derail the agenda they usually focus on stupid things like grammatic… https://t.co/TQYijmXMUd","-0.52","0.63","NEGATIVE"
"Videspar Gori","videsparwaali","@ChefKunalKapur My dad also had a Vespa and once to drop me off for tutions the bike broke down .papa yeh bike kab… https://t.co/eQUFdgJBEQ","-0.16","0.29","NEGATIVE"
