"name","screen_name","text","polarity","subjectivity","label"
"Fi O'Connor","fioconnor","@SchoolsImprove Have the likely loss of revenue to schools as nearly-untrained teachers take long periods of necess… https://t.co/wIhGzawF3I","-0.03","0.70","NEGATIVE"
"Sheeple101","Sheeple101","RT @Imported_Fun: The best teachers are the ones who show you where to look, but don't tell you what to see.

#Teachers #STEM #Education ht…","1.00","0.30","POSITIVE"
"WAB@200/Tejovanth","WeAreBangalore","When was the last time you went back to school to tell hi to your teachers?
I haven't in years, though I live a km from it. Sigh. :\","-0.03","0.39","NEGATIVE"
"ISTANBUL THEMES","ISTANBUL_THEMES","RT @fgeerdink: berkin elvan's mom and sister were at a protest in #solidarity with semih and nuriye, the two jailed #teachers on #hungerstr…","0.00","0.00","NEGATIVE"
"Robyn T. Emerson","austexanywhere","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"Catherine Brooks","concysani1976","chubby black girls porn teachers teaching sex https://t.co/g1rGd63vFE","-0.17","0.43","NEGATIVE"
"javed minhas","javed_minhas","Teachers from all private schools are invited here to discuss your problems.All those who are taking high fees... https://t.co/WPWDDhnxZ7","0.08","0.46","POSITIVE"
"NEWGOOD Brand","NEWGOODOFFICIAL","@etherealkdrama teachers,school,classroom----YOUNG","0.00","0.00","NEGATIVE"
"beatrice","beatricei4","Teachers reveal students  bad reply which sound more funny - https://t.co/OYgwRkjno0 https://t.co/fSInxO4SfP","0.11","0.64","POSITIVE"
"Hindustan Times","htTweets","RT @HTPunjab: Now Himachal issues dress code for teachers; flying squad to carry out random checks
https://t.co/xeLnN3cyB1","-0.50","0.50","NEGATIVE"
"Jojo","JojoBoracay11","Down with the last 20 hours of Montessori course training for accreditation ( Teachers of Montessori International… https://t.co/jMUckntML1","-0.08","0.18","NEGATIVE"
"Captain","JbMwamjeni_","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"jummy","jummypq1","Teachers reveal students  bad reply which sound more funny - https://t.co/ka4WoMOyg5 https://t.co/TJZqlF9E2D","0.11","0.64","POSITIVE"
"Camila Collins","vithohypbo1972","teachers teaching sex blog nude pic teen https://t.co/G7aHDt5LOr","0.00","0.00","NEGATIVE"
"leah franchetti","LeahFranchetti","For fans of Alanis Morissette: if Scot Govt had announced bursaries, we could have more fully trained teachers in p… https://t.co/46VmG39N5j","0.50","0.50","POSITIVE"
"A Reading Nook","ReadingNookBlog","RT @phillengthorn: My timeline is full of teachers who have been doing lots of work. Just want to put this out there....I've done absolutel…","0.35","0.55","POSITIVE"
"Jacki","jackdaw49","RT @Dublinnewsguy: When the ""surfs"" have all been moved on who on earth do the privileged think will help them. Nursing, Police, Bins, Doct…","0.00","0.00","NEGATIVE"
"Michelle","MichelleMsheehy","Exclusive: 'Secret shopper’ pupils sent to ‘spy’ on teachers https://t.co/ADIikxmSq2 via @tes Seriously?! @rob_kelsall","-0.41","0.68","NEGATIVE"
"B-logical","RU_logical","@mundanematt How many are future doctors , lawyers, policemen, judges, school teachers???","0.25","0.31","POSITIVE"
"Ingrid","ingrid_donnet","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"BURG","BanyuleURG","RT @SkyeMooster: Former private school principal sues school, teachers  https://t.co/1YM279PR85 via @smh","0.00","0.19","NEGATIVE"
"makboolveeray","makboolveeray","👉👉👉 Job Vacancies in Cambridge Public High School 👉👉👉
👉👉 Post Name : General Line Teachers | Urdu Teachers |... https://t.co/bBfvMAKjRP","0.07","0.37","POSITIVE"
"Valley Media Service","vms_news","👉👉👉 Job Vacancies in Cambridge Public High School 👉👉👉
👉👉 Post Name : General Line Teachers | Urdu Teachers |... https://t.co/sPcOSnBZti","0.07","0.37","POSITIVE"
"Current News Service","cnskashmir","👉👉👉 Job Vacancies in Cambridge Public High School 👉👉👉
👉👉 Post Name : General Line Teachers | Urdu Teachers |... https://t.co/EHPxU5CRPt","0.07","0.37","POSITIVE"
"Matthew Lynch","Lynch39083","Maintaining a Connection with Students: 7 Tips for Administrators https://t.co/Og3W5ZwaSH #teachers https://t.co/MGgOPrPfhw","0.00","0.00","NEGATIVE"
"thiccolas cage.","SookieMurage","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"cbas 🚮","Cbaskoun","DC teachers are the best teachers tbh. They actually care about your grades, especially if you’re paying all that money for a class","0.33","0.47","POSITIVE"
"Tom Hotsenpiller","CoachHots","RT @classtagme: Every teacher would like to get messages of appreciation from #parents. ClassTag teachers find them in their ClassTag inbox…","0.00","0.00","NEGATIVE"
"Shrewd Alik ⚡️","qkode","Why Introverted Teachers Are Burning Out Educators are feeling drained by the insistent emphasis on collaboration a https://t.co/yQ6ZpnXa3Z","0.00","0.00","NEGATIVE"
"dscuscuna","TDSB_TEACHER","RT @MindShiftKQED: Important issues to consider as kids and teachers head back to school this fall https://t.co/OX14QYac5w #edchat #traumai…","0.20","0.50","POSITIVE"
"Oliver","OCK__","RT @VICE: An Alabama judge just ruled that teachers have the right to sleep with their students: https://t.co/7SH7ok6onn https://t.co/5LHRm…","0.29","0.54","POSITIVE"
"Week Herald","WeekHerald","Teachers Advisors LLC Has $65.79 Million Stake in Phillips 66 $PSX https://t.co/GZqTbqckEH","0.00","0.00","NEGATIVE"
"Week Herald","WeekHerald","Emergent Biosolutions, Inc. $EBS Shares Bought by Teachers Advisors LLC https://t.co/9H0ZOQKCku","0.00","0.00","NEGATIVE"
"💎💎","AbuyaDee","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"Week Herald","WeekHerald","Orthofix International N.V. $OFIX Shares Bought by Teachers Advisors LLC https://t.co/cIdPblALaE","0.00","0.00","NEGATIVE"
"john","popnfresh45","RT @VICE: An Alabama judge just ruled that teachers have the right to sleep with their students: https://t.co/7SH7ok6onn https://t.co/5LHRm…","0.29","0.54","POSITIVE"
"Discrete Science","Discrete_sc","Solving Equations A Makework Project For Math Teachers And - Solving Equations A.. [https://t.co/6dGYgwjYuL] https://t.co/BhS8wOrJfZ","0.00","0.00","NEGATIVE"
"Teach Talks","TeachTalks","There is no secret formula to being a good teacher, no secret fairy dust head teachers can sprinkle over new staff https://t.co/r2rQxXDZAv","0.31","0.61","POSITIVE"
"Shea","SheaDaniels_","RT @chancetherapper: After taking out a $275mm loan from Chase 😑 CPS still has to layoff 900+ employees including 356 of our teachers. Wtf.…","0.00","0.00","NEGATIVE"
"Fi O'Connor","fioconnor","RT @SchoolsImprove: In case you missed it: Student teachers in class after five weeks of training https://t.co/pw4F2OJ3H8","0.00","0.00","NEGATIVE"
"Mike Marzio","MikeMarzio","Advanced: Difficult or very difficult
I know that a few teachers come here looking for material for their... https://t.co/1znwtkG2lP","-0.24","0.68","NEGATIVE"
"Mubarak Bello Ahmed","its_mubaraq","I don't know what's up with Nigerian secondary school English teachers and this essay topic. HOW YOU SPENT YOUR LAST HOLIDAY","-0.10","0.12","NEGATIVE"
"Freedom High School","fhseaglesnest","RT @drlukacs: Some Top U.S. Educators Went to Finland. Their Big Takeaway: Empower Teachers https://t.co/5zhcFDKBZl via @educationweek","0.25","0.30","POSITIVE"
"jared25","jaredb2525","@Amy_Siskind @tariqnasheed Libs are to dumb to see you don't need millions of teachers the best could stream it ove… https://t.co/t9Cv1ofZXz","0.31","0.40","POSITIVE"
"k🅰️thryn","TheOrionKat","@_SeaPeeSound_ @TheOrionSound I wish I had cool teachers that watch YouTube smh","0.35","0.65","POSITIVE"
"Paola Axon","AxonPaola","RT @_CREC: Formal learning starts too young! #hundredreview uncovers broad support for more play-based learning in Yr 1 &gt;&gt;&gt; https://t.co/96…","0.23","0.40","POSITIVE"
"Irene Forbes","rosiecrackers","@iWebPaul I'm not catholic but was very well educated by (albeit harsh &amp; abusive) Irish nuns. Also had many excelle… https://t.co/HcXceh47YP","0.10","0.32","POSITIVE"
"Core Exercise","coreburnflat","Boy, 7, With Autism Captured on School Surveillance Video Being Dragged by 2 Teachers… https://t.co/StMlR1hyzn","0.00","0.00","NEGATIVE"
"Ellie Hirsch","Mommymasters","December 2014 Parenting Tip-Teach your Children to be Teachers: - https://t.co/KwvWjEsXc4","0.00","0.00","NEGATIVE"
"Youth Connect (TMCC)","YouthConnect_","""Don't bully your classmates or even your teachers."" - Alex Esguerra
#SNSEquilibrium","0.00","0.00","NEGATIVE"
"The Best Ever","_ElmerTunay","RT @FunnyBrawls: teachers fighting... what... how do you even... what the fuck https://t.co/kVpik25Exq","-0.40","0.60","NEGATIVE"
"Letícia Fernandes","LFwagatsuma","RT @rwilks: 9% of teachers working w deaf children have BSL Level 3 or above, yet 57% work with children whose preferred language is BSL/SS…","0.00","0.10","NEGATIVE"
"Storm Investor","storminvestor","Teachers Advisors LLC Buys 63,828 Shares of Koppers Holdings Inc. $KOP https://t.co/2VyFKgXIu7","0.00","0.00","NEGATIVE"
"Storm Investor","storminvestor","XPO Logistics, Inc. $XPO Shares Bought by Teachers Advisors LLC https://t.co/W43FujGPoe","0.00","0.00","NEGATIVE"
"Storm Investor","storminvestor","Gibraltar Industries, Inc. $ROCK Shares Sold by Teachers Advisors LLC https://t.co/7SfQr5hQYY","0.00","0.00","NEGATIVE"
